rating,title,text,price,review_date
96.0,Ethiopia Washed Guji Uraga Welichu,"Remarkably sweet, rich-toned, deeply floral. Star jasmine, lychee, dried ginger, cocoa nib, myrrh in aroma and cup. Sweetly tart structure with juicy, lively acidity; delicate, very syrupy mouthfeel. Crisp, long, fruit- and cocoa-toned finish.",$375/8 ounces, Nov 2022
94.0,Don Roger & Isabel’s Natural Fruit Symphony,"Cocoa-toned, bright and vibrant. Cocoa nib, pink grapefruit zest, pomegranate, freesia-like flowers, cedar in aroma and cup. Balanced, sweet-tart structure with juicy acidity; syrupy-smooth mouthfeel. The cocoa-toned finish is complicated by spicy floral tones.",Price: $19.00/175 grams, Nov 2022
95.0,Kenya Gitare AA TOP,"Sweetly bright, richly savory. Narcissus, pink grapefruit zest, ripe blackberry, cocoa nib, salted caramel in aroma and cup. Sweet-savory, complex structure with juicy acidity; plush, very syrupy mouthfeel. Narcissus and salted caramel notes lead in the long, resonant finish.",$340/8 ounces, Nov 2022
93.0,Costa Rica Naranjo Danilo Salazar Arias,"Crisply sweet, brightly tart. Tamarind, pineapple taffy, almond, lime zest, magnolia in aroma and cup. Sweetly tart structure with brisk acidity; very smooth, syrupy mouthfeel. Crisply fruity finish with undertones of almond butter.",Price: $24.00/12 ounces, Nov 2022
95.0,Yemen Natural Sana’a Manakhah Ja’adi,"Deeply spice-toned, richly layered. Black currant, clove, dark chocolate, tangerine zest, cedar in aroma and cup. Very sweet with winey acidity; creamy-smooth mouthfeel. The long, chocolaty finish is supported by notes of black currant and clove.",$900/4 ounces, Nov 2022
95.0,Ethiopia Bench Maji Gesha Special Natural Lot 03,"Richly sweet, cocoa-driven and crisply fruity. Concord grape, dark chocolate, plumeria, marjoram, sandalwood in aroma and cup. Sweet-toned structure with bright, juicy acidity; plush, syrupy mouthfeel. The resonant, flavor-saturated finish leads with fruit and chocolate suggestions.",$400/8 ounces, Nov 2022
94.0,Ethiopia Yirgacheffe Kochere Debo Premium Lot Washed Process,"Complex, delicate, richly sweet. Star jasmine, pink grapefruit zest, nectarine, sandalwood, bay leaf in aroma and cup. Crisp, sweetly tart structure with bright acidity; silky-smooth, vibrant mouthfeel. Grapefruit, nectarine and cashew notes lead in the multi-layered finish.",$459/8 ounces, Nov 2022
94.0,Ethiopia Natural Yirgacheffe Burtukaana Danche,"Rich, intensely floral, fruit-toned. Lilac, dried apricot, baking chocolate, frankincense, fresh-cut oak in aroma and cup. Lively, sweet-tart structure with vibrant acidity; full, syrupy-smooth mouthfeel. The resonant finish centers around crisp citrus and sweet floral tones, deepened by notes of baking chocolate.",$350/8 ounces, Nov 2022
93.0,Finca Buenavista Edwin Zambrano Colombia,"Fruit-forward, crisply tropical. Strawberry guava, baking chocolate, lemon verbena, fresh-cut oak, brown sugar in aroma and cup. Sweet in structure with balanced, lively acidity; plush, syrupy mouthfeel. Crisply cocoa-toned finish with undertones of lemon verbena.",Price: $19.00/12 ounces, Nov 2022
93.0,Ethiopia Guji Uraga Wolichu Wachu Anaerobic Natural Process,"Delicately fruity, spice-toned. Red plum, ginger blossom, cocoa nib, lemon balm, maple syrup in aroma and cup. Gently vibrant structure with round acidity; viscous, satiny mouthfeel. Cocoa-toned finish, supported by notes of lemon balm and maple syrup.",$399/8 ounces, Nov 2022
93.0,Bouquet Serenade 1982 Espresso Blend,"Evaluated as espresso. Deeply sweet, richly earth-toned and chocolaty. Blueberry coulis, dark chocolate, pipe tobacco, cedar, magnolia in aroma and small cup. Crisply viscous mouthfeel; fruit-driven finish with dark chocolate undertones. In three parts milk, fruit and chocolate notes mingle with earthy-sweet pipe tobacco and cedar.",$249/8 ounces, Nov 2022
93.0,Honduras Copan Finca Liquidambar Natural Process,"Crisp, balanced, vibrant. Cocoa nib, tea rose, hazelnut, marjoram, red apple in aroma and cup. Sweet structure with gentle acidity; buttery mouthfeel. The nuanced finish leads with notes of cocoa nib and marjoram, supported by red apple.",$459/8 ounces, Nov 2022
92.0,Colombia Tolima La Gallera Honey Process,"Crisply sweet, spice-toned. Pie cherry, oak, baking chocolate, freesia-like flowers, sandalwood in aroma and cup. Sweet in structure with citrusy acidity; syrupy-smooth mouthfeel. The finish centers around tart stone fruit and aromatic wood notes, with a hint of spicy florals underneath.",$429/8 ounces, Nov 2022
91.0,The Glistening Orchard Blend,"Fruity and crisply chocolaty. Green banana, cane sugar, dark chocolate, cedar, cashew in aroma and cup. Sweetly tart with sharp acidity; full, velvety mouthfeel. The finish consolidates to notes of chocolate-toned banana and cashew.",$459/8 ounces, Nov 2022
94.0,Ethiopia Hateso Guji Washed,"Complex, nuanced, deep. White nectarine, lavender, dark chocolate, maple syrup, tangerine zest in aroma and cup. Richly sweet structure with crisply bright acidity; very full, syrupy mouthfeel. Cocoa-toned finish supported by notes of white nectarine and maple syrup.",Price: $20.00/12 ounces, Nov 2022
93.0,El Salvador Unicorn,"Sweetly-tart, elegantly fruit-driven. Lychee, cocoa nib, Fig Newton, star jasmine, cedar in aroma and cup. Brightly sweet-tart structure with juicy acidity; crisp, satiny mouthfeel. Cocoa nib and date lead in the resonant finish.",Price: $21.60/12 ounces, Nov 2022
93.0,Alishan Washed,"Balanced, gently bright. Red grape, almond, cedar, narcissus, baking chocolate in aroma and cup. Sweet-toned structure with brisk acidity; full, creamy mouthfeel. The short finish leads with notes of red grape and baking chocolate, rounding to sweet almond in the long with undertones of cedar.","$1,500/250 grams", Nov 2022
93.0,Ethiopia Wush Wush Black Honey Lot 2,"Floral and richly fruit-toned. Guava, tea rose, sage, pralines, cane sugar in aroma and cup. Sweet-tart structure with winy acidity; full, syrupy mouthfeel. The rich finish leads with notes of tea rose and guava, supported by cane sugar.",Price: $21.00/12 ounces, Nov 2022
91.0,Alishan Natural,"Crisply sweet, delicately fruity. Persimmon, hazelnut, tiger lily, fresh-cut fir, brown sugar in aroma and cup. Sweet structure with brisk acidity; syrupy-smooth mouthfeel. The wood-framed finish is crisply sweet into the long.","$1,500/250 grams", Nov 2022
94.0,Guatemala El Injerto Pacamara,"Complex, multi-layered, resonantly deep. Dark chocolate, summer savory herb, creme brulee, Asian pear, violet in aroma and cup. Sweet-savory structure with richly bittersweet acidity; syrupy-smooth mouthfeel. Crisply chocolaty finish supported by Asian pear and summer savory notes.",Price: $22.00/6 ounces, Nov 2022
93.0,Honduras Roberto Figueroa,"Savory leaning, complexly sweet. Jackfruit, black sesame, freesia, agave syrup, fresh-cut oak in aroma and cup. Savory-sweet structure with juicy, apple-toned malic acidity; crisp, dry Vermouth-like mouthfeel. Quiet finish with notes of jackfruit and black sesame.",Price: $25.00/250 grams, Nov 2022
93.0,Guatemala Tojquia,"Vibrant, elegantly layered. Pink grapefruit, papaya, cocoa nib, dried hibiscus, cedar in aroma and cup. Sweet-toned with bright acidity; lush mouthfeel. Clean, lingering finish.",Price: $21.00/12 ounces, Nov 2022
92.0,Guatemala Don Angel,"Sweetly tart, high-toned. Pie cherry, baking chocolate, cane sugar, almond, a hint of narcissus in aroma and cup. Tart-leaning structure with juicy acidity; delicately satiny mouthfeel. The clean, refreshing finish is centered around tart fruit notes.",Price: $19.00/12 ounces, Nov 2022
